Search Term,均值,方差,斜率
samsung tablet,1755.2875,0.0707,{'7': 0.203}
silicone wedding bands women,908.3386,0.0992,{'11': 0.959}
mother of the bride dresses,19090.8232,0.0847,"{'11': 0.085, '6': 0.216}"
the,1857.2623,0.0838,"{'11': 0.518, '6': 0.138}"
crackers,1369.6313,0.0682,"{'11': 0.623, '6': 0.186}"
bathroom shelves,1555.4054,0.0587,"{'8': 0.082, '11': 0.799, '4': 0.151, '6': 0.215}"
timberland boots for men,1005.5233,0.1081,{'8': 0.268}
utensil holder,1828.7132,0.0612,"{'11': 0.502, '6': 0.105}"
avocado,1805.6766,0.0587,"{'11': 0.937, '7': 0.339}"
shower curtain rings,6233.0171,0.0757,"{'11': 0.308, '6': 0.708}"
kawaii accessories,1728.0657,0.0758,"{'10': 0.189, '4': 0.262}"
desk decor,3078.7572,0.0785,"{'11': 0.603, '5': 0.119}"
refrigerator organizer bins,2014.6264,0.0664,"{'3': 0.185, '11': 0.809, '5': 0.256}"
nursing tops,2222.3686,0.0689,"{'2': 0.185, '11': 0.615, '5': 0.179}"
car seat,1528.1112,0.0624,"{'11': 0.461, '6': 0.278}"
star projector,1755.0818,0.0627,"{'10': 0.232, '6': 0.387}"
locker accessories,17414.9726,0.1379,"{'11': 0.429, '4': 0.254}"
vibrator sexual for women vibrating machine,24522.2018,0.0758,{'8': 1.413}
blackhead remover,1559.6575,0.0783,{'11': 0.52}
olive oil,1191.0039,0.0527,{'11': 0.744}
kitchen utensils,6568.7004,0.0656,"{'9': 0.055, '6': 0.114}"
back scratcher,1638.8748,0.0623,"{'10': 0.2, '5': 0.101}"
the ordinary,1369.2805,0.0741,"{'11': 0.558, '5': 0.347}"
space jam jersey,32613.5704,0.103,{'11': 0.544}
probiotic,3201.0841,0.1228,"{'3': 0.122, '11': 0.472}"
3d printers,17249.2151,0.1852,"{'2': 0.139, '6': 0.532}"
acrylic paint,1265.7916,0.0504,"{'11': 0.307, '6': 0.727}"
gift bags,1674.8053,0.0603,{'7': 0.249}
fleshlight,3133.4066,0.0598,"{'11': 0.4, '5': 0.319}"
floss,2194.9546,0.0629,"{'11': 0.813, '5': 0.105}"
hamper,1728.9128,0.0609,"{'11': 0.507, '6': 0.074}"
bathing suits,12194.9074,0.1101,{'10': 0.604}
tents,4929.2388,0.082,{'11': 0.767}
igloo cooler,5621.9208,0.0853,"{'8': 0.721, '11': 0.375, '4': 0.171}"
underworld,3344.2015,0.0735,"{'11': 0.501, '4': 0.087, '6': 0.756}"
knee brace,1635.7172,0.0605,"{'2': 0.166, '11': 0.539}"
shower chair,2033.4745,0.0467,"{'8': 0.336, '11': 0.346, '6': 0.125}"
toy storage,2013.3676,0.0781,"{'10': 0.277, '5': 0.224}"
wipes,1689.8557,0.049,"{'3': 0.119, '11': 0.936}"
pool floats adult,47236.4831,0.1189,{'11': 0.126}
keto snack,16841.6757,0.1631,"{'2': 0.17, '11': 0.099, '4': 0.136}"
rv accessories,2088.015,0.0778,"{'10': 0.291, '6': 0.402}"
printer paper,1748.7365,0.0673,"{'3': 0.259, '11': 0.721, '7': 0.173}"
memory foam mattress,2031.0801,0.051,"{'10': 0.437, '2': 0.231}"
cork board,2746.6897,0.0544,"{'11': 0.434, '6': 0.858}"
laser pointer,1578.1636,0.0611,"{'8': 0.222, '11': 0.524}"
dragon ball z,1758.1777,0.0626,"{'10': 0.612, '4': 0.122}"
monster high,5376.7104,0.1119,"{'11': 0.614, '4': 0.054}"
steve madden sandals,14339.7097,0.0896,{'11': 0.473}
gaming action figures,1961.9998,0.1503,{'11': 0.507}
downton abbey,1515.013,0.0621,{'10': 0.563}
womens shirts,1649.4004,0.079,"{'11': 0.524, '7': 0.164}"
gift card birthday,9510.9837,0.0718,{'11': 0.064}
scrub daddy,1605.3309,0.0459,{'11': 0.359}
family guy,1530.3344,0.0569,"{'11': 0.434, '6': 0.51}"
moving boxes,2227.6544,0.0586,{'11': 0.754}
men's t-shirts,2070.3698,0.0827,"{'2': 0.318, '11': 0.704}"
ear plugs,1420.5105,0.0687,"{'8': 0.143, '11': 0.548, '6': 0.698}"
yoga,1888.7436,0.0748,{'10': 0.282}
jbl,1880.5639,0.0656,"{'10': 0.274, '5': 0.124}"
bath and body works,1458.4339,0.0683,"{'8': 0.197, '2': 0.573, '4': 0.388, '6': 0.136}"
preworkout,2759.5552,0.0691,"{'11': 0.387, '5': 0.13}"
athletic shorts for women,10033.0988,0.1005,"{'11': 0.764, '6': 0.127}"
sticky bra,5486.426,0.0764,"{'11': 0.472, '6': 0.387}"
samsung,1324.4569,0.0645,"{'8': 0.14, '11': 0.517, '5': 0.203}"
quiet place part 2,2758.5302,0.0982,{'11': 0.898}
invicta watches for men,1508.1307,0.0631,"{'10': 0.138, '5': 0.171}"
golf shoes men,108999.0709,0.1098,{'5': 0.199}
foundation,1559.2497,0.0712,"{'9': 0.063, '11': 0.581}"
battery operated fan,19417.2342,0.0982,{'11': 1.045}
survival gear,2106.8285,0.0661,"{'3': 0.141, '11': 0.298}"
belly rings,10304.3872,0.0692,"{'10': 0.317, '6': 0.124}"
lace front wigs human hair,3418.6185,0.1092,"{'2': 0.272, '5': 0.579}"
diamond art,1313.1856,0.0644,"{'8': 0.323, '10': 0.148, '5': 0.186}"
tom and jerry,1933.5481,0.1187,{'10': 0.237}
spiralizer noodle maker,93936.5668,0.0917,"{'3': 0.175, '11': 0.639}"
cabinet organizers and storage,2037.2163,0.0494,"{'11': 0.905, '6': 0.072}"
ipad mini,1120.4635,0.0993,{'8': 0.226}
cricut accessories,3227.1905,0.0921,"{'10': 0.153, '2': 0.544, '4': 0.312}"
capris for women,26029.1383,0.122,"{'11': 1.116, '6': 0.508}"
laptop bag for women,3798.2935,0.0825,"{'10': 0.166, '2': 0.14, '4': 0.356, '6': 0.217}"
chairs,2163.6284,0.0564,"{'2': 0.116, '11': 0.538}"
quercetin,2034.9696,0.0827,"{'11': 0.524, '4': 0.17, '6': 0.612}"
skechers sandals for women,19830.7388,0.0896,"{'11': 0.964, '6': 0.544}"
twin mattress,1247.2118,0.0946,"{'2': 1.092, '11': 0.123, '5': 0.067}"
full size mattress,1739.7436,0.0774,"{'2': 0.908, '11': 0.126, '6': 0.229}"
sanrio,1871.1943,0.0644,"{'9': 0.187, '2': 0.241, '4': 0.172}"
coach handbags,2041.1666,0.0642,"{'8': 0.827, '10': 0.09, '5': 0.716}"
laptop case,2147.2292,0.0543,"{'11': 0.311, '6': 0.545}"
coffee creamer,1587.1106,0.0519,"{'11': 0.566, '6': 0.464}"
calvin klein underwear for men,53443.2985,0.0875,{'4': 0.479}
hbo max app,15442.7645,0.1524,{'11': 0.507}
club outfits for women,5528.7222,0.0661,{'11': 0.856}
gopro,1433.3791,0.0635,{'11': 0.51}
water dispenser,1842.0548,0.0632,"{'8': 0.095, '11': 0.546, '5': 0.137}"
aesthetic clothes,2100.3793,0.057,"{'10': 0.181, '6': 0.333}"
ipad 8th generation case,1783.6519,0.0887,{'11': 0.657}
purge,5462.9676,0.0992,"{'9': 0.195, '11': 0.399, '4': 0.231}"
dog poop bag,1912.3018,0.0647,"{'2': 0.097, '11': 0.582, '6': 0.646}"
bath rugs,1808.2981,0.0492,"{'10': 0.39, '6': 0.165}"
airsoft,1802.169,0.0441,"{'8': 0.851, '3': 0.106, '11': 0.235}"
placemats,1998.1234,0.0453,"{'8': 0.15, '2': 0.191, '11': 0.224, '6': 0.728}"
sd cards,18319.9733,0.0762,"{'11': 0.398, '4': 0.303, '6': 0.447}"
rio,8045.3019,0.0912,"{'3': 0.273, '11': 0.628}"
bean bag,1575.1169,0.0676,"{'10': 0.22, '2': 0.155, '6': 0.167}"
eyebrow pencil,2256.6575,0.0641,"{'11': 0.271, '6': 0.791}"
samsung galaxy s10+ case,55445.7466,0.1043,"{'11': 0.566, '4': 0.252, '6': 0.285}"
8x10 picture frame,3879.2251,0.0691,{'6': 1.358}
apple tv,1367.4696,0.0613,{'11': 0.542}
napkin holder,1895.9748,0.0667,"{'11': 0.533, '6': 0.132}"
jaws,5063.3385,0.1026,"{'11': 0.557, '4': 0.121}"
off the shoulder tops,19922.4949,0.0797,{'11': 0.949}
vera bradley backpack,12096.7243,0.0693,"{'2': 0.093, '11': 0.191, '4': 0.771}"
mens t shirt,23073.5839,0.122,{}
barstools,1721.0034,0.064,"{'11': 0.558, '6': 0.152}"
keto pills,2379.0517,0.0612,"{'3': 0.115, '11': 0.799, '6': 0.08}"
drones,2359.7855,0.0611,"{'10': 0.248, '2': 0.165, '5': 0.179}"
boho dress,4518.7085,0.0804,{'11': 0.978}
bug spray,11371.482,0.1036,{'11': 0.661}
massage chair,1099.4942,0.0633,{'10': 0.195}
string lights,1167.2266,0.0551,"{'2': 0.278, '11': 0.319, '6': 0.471}"
unhinged,3989.9914,0.078,"{'3': 0.583, '11': 0.903}"
vitamin c serum,1649.2518,0.0623,{'11': 0.571}
celsius energy drink,33135.661,0.084,{}
binoculars,1144.3704,0.0616,"{'11': 0.372, '7': 0.164}"
joggers for women,866.5612,0.0741,"{'11': 0.168, '6': 0.484}"
eyeshadow palette,1388.1144,0.0736,"{'9': 0.12, '6': 0.196}"
binoculars for adults,3186.1023,0.0669,"{'10': 0.246, '2': 0.074, '5': 0.277}"
beard trimmer for men,7803.9482,0.0728,{'5': 0.081}
raised garden bed,6117.7963,0.0729,"{'11': 0.877, '6': 0.453}"
grow light,1378.7633,0.093,{'11': 0.523}
bose,1965.6398,0.0744,"{'10': 0.113, '5': 0.154, '7': 0.402}"
shorts men,32121.6276,0.0975,{}
ps5 games,1917.7509,0.0877,"{'10': 0.081, '2': 0.738, '4': 0.823, '6': 0.217}"
succulent pots,3476.9683,0.0524,"{'11': 0.245, '6': 1.009}"
plastic cups,2157.4638,0.0591,"{'11': 0.552, '5': 0.108}"
bandanas,8507.9116,0.0692,"{'2': 0.619, '11': 0.801, '4': 0.167, '6': 0.325}"
kindle books,1573.7237,0.0688,"{'8': 0.364, '2': 0.617, '11': 0.422, '5': 0.23}"
brumate,3712.554,0.0627,"{'8': 0.401, '10': 0.225, '2': 0.483}"
mirrors for wall,4794.3101,0.0662,"{'3': 0.25, '11': 0.314, '6': 0.125}"
scooter,2349.7956,0.0845,"{'8': 0.474, '10': 0.486, '2': 0.319}"
amazon basics,2498.7111,0.0735,"{'2': 0.499, '11': 0.519, '5': 0.182}"
kids water shoes,22055.0521,0.1436,{'10': 0.457}
bracelet,5303.0364,0.0659,"{'10': 0.137, '6': 0.065}"
outdoor chairs,3319.3309,0.1207,{'11': 0.695}
gaming mouse pad,1800.1212,0.0591,"{'2': 0.17, '11': 0.532, '4': 0.265}"
paper shredder,3079.8009,0.0803,"{'11': 0.17, '4': 0.532}"
bathroom trash can,2231.7324,0.053,"{'11': 0.157, '6': 0.865}"
iphone se case,999.0288,0.0768,"{'2': 0.482, '11': 0.197, '6': 0.126}"
i alone can fix it,84964.5339,0.1228,{'11': 0.587}
pen,1802.9705,0.0623,"{'11': 0.459, '7': 0.094}"
tea kettle,1044.6996,0.0841,"{'8': 0.125, '5': 0.318}"
garmin watch,1824.9852,0.0487,"{'10': 0.123, '4': 0.104, '6': 0.665}"
vegan,1866.3507,0.0666,{'11': 0.554}
plus size dress,2308.7088,0.0646,"{'8': 0.12, '11': 0.08, '4': 0.276}"
laptop bag,1567.1126,0.0578,"{'3': 0.192, '11': 0.186, '5': 0.734}"
k cups,1551.5988,0.0644,"{'11': 0.372, '7': 0.117}"
exercise bike,2428.5058,0.0876,"{'11': 0.177, '5': 0.307}"
socks for men,976.0631,0.0655,"{'2': 0.118, '7': 0.182}"
sailor moon,1922.4342,0.0547,"{'10': 0.245, '5': 0.103}"
camping tent,3302.43,0.0941,"{'11': 0.702, '5': 0.285}"
running shorts for women,9444.3593,0.0886,"{'11': 1.028, '6': 0.854}"
wall shelves,1293.0477,0.0536,"{'11': 0.233, '6': 1.01}"
sex doll,1741.8498,0.0544,"{'2': 0.492, '11': 0.567, '6': 0.11}"
cell phone,1786.3176,0.0524,"{'8': 0.145, '10': 0.416}"
cream cheese,1323.4494,0.0601,"{'11': 0.46, '6': 0.183}"
bigfoot,2967.4079,0.0751,"{'10': 0.627, '6': 0.168}"
purple shampoo,2135.9228,0.0535,"{'11': 0.618, '6': 0.573}"
cornhole bags,5710.271,0.0908,"{'11': 0.299, '5': 0.286}"
bookcase,1410.1208,0.0705,"{'8': 0.059, '11': 0.535, '4': 0.463, '6': 0.337}"
classic movies,2344.0032,0.0706,"{'11': 0.566, '6': 0.481}"
inflatable pool,6989.352,0.0964,{'11': 0.706}
tower fan,4665.0601,0.115,{'11': 0.742}
window privacy film,9068.5771,0.0933,{'6': 0.174}
hair clip,3435.7957,0.0708,"{'11': 0.62, '4': 0.134}"
travel,2319.2685,0.0613,"{'11': 0.461, '5': 0.123}"
slip and slide,36889.7848,0.128,{'11': 0.672}
chicago fire,1769.6259,0.0506,"{'8': 0.134, '11': 0.227, '5': 0.082}"
shaker bottle,1891.3218,0.0544,"{'2': 0.186, '11': 0.597}"
tape,2069.108,0.0647,"{'3': 0.117, '11': 0.415, '6': 0.21}"
vines,2268.9074,0.0511,"{'10': 0.756, '6': 0.15}"
bottled water,2262.5756,0.0531,"{'11': 0.932, '5': 0.056, '7': 0.059}"
pools,14454.6596,0.1065,{'11': 0.667}
beads for jewelry making,2891.632,0.0652,"{'8': 0.729, '10': 0.409, '3': 0.09, '5': 0.07}"
concealer,1545.6776,0.0651,"{'9': 0.122, '11': 0.46}"
dog bowls,2221.3058,0.0687,"{'2': 0.194, '11': 0.455, '4': 0.3, '7': 0.191}"
wireless charger,745.9053,0.0536,"{'11': 0.307, '7': 0.433}"
end tables,1881.0278,0.062,{'11': 0.524}
pacifiers,15208.4931,0.0597,"{'11': 0.611, '4': 0.14, '6': 0.206}"
brita filter,7541.7974,0.0836,"{'11': 0.635, '4': 0.905, '6': 0.323}"
carry on luggage,1864.8639,0.0946,"{'11': 0.11, '4': 0.872, '7': 0.173}"
macbook air case,2033.9817,0.0586,"{'10': 0.248, '6': 0.403}"
clipboards,10492.1754,0.1183,{'11': 0.076}
robes for women,4808.4813,0.067,"{'3': 0.152, '6': 1.213}"
tablecloth,4760.6113,0.0908,"{'10': 0.446, '2': 0.518, '4': 0.237, '6': 0.613}"
sound bars for tv,3377.0297,0.0663,{'6': 1.288}
online shopping,2372.9608,0.0677,"{'9': 0.295, '2': 0.29}"
snorkel mask,11074.0227,0.0913,"{'11': 0.438, '4': 0.112}"
salsa,1576.794,0.0573,{'11': 0.924}
sharpies,4028.8584,0.0827,{'11': 0.32}
deodorant men,68276.8296,0.1761,{'2': 0.147}
lol dolls,1541.124,0.0661,"{'9': 0.124, '5': 0.315}"
baby bathtub,1814.9758,0.0562,"{'11': 0.758, '6': 0.157}"
green tea,1768.227,0.0511,{'11': 0.727}
running shoes for men,2144.6438,0.0616,"{'2': 0.091, '11': 0.179, '6': 1.135}"
bathroom set,1606.5529,0.0584,"{'11': 0.603, '6': 0.296}"
entryway table,2423.1542,0.0487,"{'8': 1.017, '11': 0.164, '5': 0.113}"
peel and stick backsplash,2303.182,0.0556,"{'11': 0.266, '5': 1.092}"
ski mask,1078.1641,0.0906,"{'11': 0.174, '7': 0.29}"
iron,1442.0935,0.0631,"{'2': 0.189, '11': 0.609, '7': 0.221}"
artificial flowers,2322.88,0.0768,"{'2': 0.111, '11': 0.777, '6': 0.757}"
gaming hats,2604.6886,0.1433,{'11': 0.555}
toys for 3 year old boys,2056.2426,0.0884,"{'9': 0.182, '2': 0.177, '4': 0.192}"
pandora charms,2052.2797,0.0671,"{'10': 0.074, '5': 0.909}"
fidget toy,796.5563,0.0801,"{'11': 0.944, '5': 0.182, '7': 0.446}"
travel bottles,5167.3238,0.06,{'11': 0.381}
cock ring,1861.9529,0.0691,"{'3': 0.104, '11': 0.742}"
kitchen table,1790.9449,0.0528,"{'10': 0.393, '2': 0.194, '6': 0.088}"
trash cans,13766.8038,0.0725,"{'2': 0.209, '11': 0.549}"
sexy lingerie for women naughty for sex,28637.9722,0.0992,"{'8': 0.658, '10': 0.757}"
google,2875.3266,0.0739,"{'10': 0.587, '3': 0.23, '5': 0.324}"
3d printer,886.6743,0.1028,{'10': 0.18}
surge protectors,26990.73,0.1002,"{'3': 0.179, '11': 0.523, '6': 0.271}"
puppy toys,1963.9447,0.0625,"{'11': 0.518, '6': 0.101}"
jewelry holder,8410.4098,0.0894,"{'10': 0.568, '2': 0.427, '4': 0.122, '6': 0.245}"
goth,1799.7639,0.0628,"{'11': 0.586, '4': 0.157, '6': 0.132}"
one piece bathing suits for women tummy control,139902.8678,0.1345,"{'8': 0.737, '6': 0.414}"
swim suit,24304.291,0.1115,{'10': 0.542}
king size sheets,6186.1746,0.0925,"{'2': 0.555, '11': 0.058, '6': 0.817}"
hose,2977.4672,0.1201,{'11': 0.88}
wagon,3143.6144,0.0726,{'11': 0.426}
puppy pads,2078.8602,0.0705,"{'11': 0.604, '6': 0.152}"
meal prep container,1976.0401,0.055,"{'11': 0.753, '6': 0.105}"
gucci,1796.2565,0.056,"{'8': 0.707, '10': 0.221}"
watches for men,1721.314,0.0994,"{'10': 0.163, '7': 0.243}"
massager,1171.0792,0.0681,"{'10': 0.237, '7': 0.178}"
queen size bed frame,5870.2495,0.0708,"{'11': 0.173, '6': 0.874}"
dining table,1640.8188,0.0515,"{'10': 0.233, '5': 0.078}"
queen mattress,1566.0397,0.0687,{'10': 0.289}
flash drive,1540.2669,0.0631,"{'2': 0.286, '11': 0.392, '5': 0.726, '7': 0.353}"
starbucks cups,2216.145,0.0877,"{'10': 0.183, '6': 0.215}"
bento box for kids,18593.8235,0.0926,"{'11': 0.211, '6': 0.724}"
jewelry cleaner,3022.7174,0.0642,"{'2': 0.46, '11': 0.196, '4': 0.592, '6': 1.016}"
iphone 7 case,929.5136,0.0723,"{'11': 0.584, '7': 0.488}"
gifts for mom,1475.8713,0.0834,"{'3': 0.098, '6': 0.426}"
body scrub,1560.3196,0.0546,{'10': 0.324}
iphone 12 pro,1657.3593,0.051,{'11': 0.649}
probiotics,1433.6681,0.0756,{'11': 0.841}
thank you stickers,2065.5327,0.0553,{'11': 0.788}
blue light glasses for women,1810.3906,0.0843,"{'8': 0.139, '10': 0.197, '6': 0.201}"
resistance band,4099.6616,0.0886,"{'8': 0.176, '11': 0.161, '5': 0.831}"
keurig,1539.1723,0.0767,"{'9': 0.074, '3': 0.583}"
little women,2771.235,0.0709,"{'3': 0.399, '11': 0.161, '6': 0.286}"
bounce house,2537.1635,0.0738,{'11': 0.439}
wrath of man,3469.1496,0.1189,{'11': 0.612}
nightmare before christmas,2501.4566,0.1772,{'6': 0.273}
micro sd,5696.7957,0.1044,"{'10': 0.298, '5': 0.268}"
bed sheets,1941.9374,0.0626,"{'11': 0.358, '6': 0.365}"
hdmi splitter,1891.3257,0.0688,"{'11': 0.504, '6': 0.161}"
beach umbrellas for sand,56609.0994,0.0741,"{'11': 0.27, '4': 0.082, '6': 0.131}"
apron,2178.6776,0.058,{'10': 0.094}
book ends,3172.6001,0.0746,"{'2': 0.463, '11': 0.281, '4': 0.288}"
baseball cap,3424.7797,0.0627,"{'11': 0.328, '6': 0.173}"
closet organizer,1222.693,0.0681,"{'8': 0.25, '2': 0.696, '11': 0.229}"
downloader,1529.288,0.0676,"{'10': 0.3, '2': 0.588, '5': 0.647}"
sofa covers,11045.0552,0.1537,"{'2': 0.277, '5': 0.115}"
chapstick,1629.7745,0.0721,{'9': 0.136}
pool noodles,9723.7446,0.0918,"{'11': 0.118, '4': 0.164}"
jurassic world toys,2214.8562,0.0645,"{'9': 0.086, '4': 0.288}"
drones with camera for adults 4k,6807.0483,0.0684,{}
pirates of the caribbean,3295.5073,0.0633,"{'11': 0.672, '6': 0.137}"
goth accessories,1849.1029,0.0538,"{'2': 0.28, '11': 0.43, '6': 0.11}"
necklaces,2617.5173,0.0961,"{'8': 0.127, '10': 0.183, '2': 0.263}"
entertainment center,1317.9485,0.0626,"{'2': 0.207, '11': 0.308, '6': 0.553}"
queen bed,2121.1288,0.0643,{'11': 0.445}
cherry pitter,43448.9804,0.1246,"{'10': 0.72, '3': 0.132}"
door lock,1969.4881,0.0561,"{'3': 0.069, '11': 0.776}"
golf tees,3436.512,0.0831,{'11': 0.448}
nmn,6804.9816,0.0841,"{'3': 0.251, '11': 0.77, '5': 0.284}"
car vacuum,1984.2549,0.0619,{'11': 0.515}
rtx,2790.7009,0.067,"{'8': 0.447, '11': 0.876, '5': 0.26}"
lucid dreaming mask,146175.9852,0.1111,"{'11': 0.297, '5': 0.504}"
jump rope,1133.3868,0.0783,"{'10': 0.421, '2': 0.089, '5': 0.461, '7': 0.266}"
weight bench,1660.5144,0.0804,"{'10': 0.137, '6': 0.347}"
fire tv stick,8145.4472,0.1084,"{'2': 0.422, '11': 0.579, '4': 0.411}"
galaxy s21 ultra case,6633.8653,0.0626,{'11': 0.098}
b,2058.8995,0.0669,"{'9': 0.091, '4': 0.176, '6': 0.28}"
batteries,1009.7953,0.0585,"{'11': 0.189, '6': 0.415}"
alexa echo dot,9681.8262,0.1395,"{'10': 0.367, '5': 0.145}"
logitech mouse,2065.8997,0.0561,{'10': 0.233}
lounge sets for women,1564.5144,0.0726,{'6': 0.414}
accent chair,1588.0096,0.0947,{'11': 0.539}
mailbox,2000.423,0.0545,"{'2': 0.159, '11': 0.778}"
cupcake stand,3362.5109,0.0694,"{'11': 0.696, '6': 0.548}"
back to school,78975.9787,0.1162,"{'11': 0.556, '5': 0.174}"
my little pony,1689.6375,0.0788,"{'8': 0.173, '6': 0.085}"
audifonos bluetooth inalambricos,46394.5864,0.101,"{'2': 0.614, '5': 0.178}"
bunk bed,2963.075,0.0518,"{'2': 0.611, '11': 0.251, '6': 0.369}"
full length mirror,1424.6587,0.0514,"{'8': 0.061, '10': 0.247, '5': 0.757}"
y2k dress,8026.472,0.0964,"{'2': 0.341, '11': 0.939, '6': 0.128}"
squishies,1545.123,0.0478,{'10': 0.485}
3070,2743.5648,0.0623,"{'11': 0.899, '5': 0.162}"
dining chairs,2322.537,0.0667,"{'11': 0.235, '4': 0.886, '6': 0.707}"
planners 2021-2022 for women,47039.7248,0.0967,"{'8': 0.201, '11': 0.197, '4': 1.053}"
card holder,1923.4174,0.0522,"{'2': 0.352, '11': 0.427}"
kn95,2198.3952,0.0726,"{'3': 0.466, '11': 0.869, '6': 0.452}"
3060,3824.2053,0.0546,"{'9': 0.116, '11': 0.656, '5': 0.189}"
rambo,3159.7829,0.0524,"{'11': 0.897, '4': 0.2}"
omega 3,2236.0874,0.0556,"{'3': 0.187, '11': 0.802}"
aloe vera gel,2266.9086,0.0573,{'11': 0.691}
window fan,6753.2512,0.1152,{'11': 0.892}
jeans,1938.1019,0.06,"{'10': 0.569, '7': 0.514}"
cocktail dress,2420.5996,0.0692,{'11': 0.307}
wall paper,4372.7901,0.0765,"{'2': 0.208, '11': 0.418, '4': 0.227}"
butter dish,1614.7142,0.056,"{'10': 0.121, '6': 0.27}"
kitchen island,1743.7319,0.0613,"{'11': 0.515, '4': 0.144, '6': 0.289}"
mens joggers,3878.723,0.0823,{'6': 0.871}
bachelorette party,6757.7001,0.0737,{'11': 0.76}
raising kanan,2705.3642,0.122,{'11': 0.567}
pack n play,2151.0846,0.0541,"{'11': 0.611, '6': 0.255}"
white dresser,2002.2287,0.0583,"{'2': 0.166, '11': 0.538, '6': 0.085}"
bluetooth headset,1844.2067,0.0794,"{'3': 0.243, '11': 0.504, '5': 0.179}"
crib,1785.0047,0.0429,"{'8': 0.699, '11': 0.357}"
pacifier clip,2494.9307,0.0569,"{'11': 0.252, '6': 0.904}"
beach chairs for adults,14567.0333,0.11,{'11': 0.574}
toys for 1 year old girl,2683.0575,0.0573,"{'11': 0.171, '4': 0.264}"
waterproof bag,8187.229,0.0972,{'11': 0.522}
cartoons,3549.8616,0.0684,"{'3': 0.254, '11': 0.155, '6': 0.144}"
christmas in july,176651.0537,0.0988,"{'8': 0.646, '11': 0.659, '4': 0.532}"
silicone molds,1348.3338,0.0911,"{'11': 0.517, '6': 0.16}"
nightstands,1370.2755,0.1166,{'11': 0.526}
cotton candy machine,2057.0149,0.0681,{'11': 0.5}
backdrop stand,2182.9523,0.0545,"{'11': 0.812, '4': 0.315}"
plushies,2236.9405,0.0545,"{'10': 0.188, '6': 0.511}"
cat scratcher,3060.3016,0.0617,"{'3': 0.41, '11': 0.284, '6': 0.248}"
label maker,1621.7058,0.1049,"{'11': 0.541, '6': 0.595}"
lingerie for women for sex naughty,4944.629,0.0894,{'6': 0.522}
razors for women,4382.0762,0.0656,"{'11': 0.114, '5': 1.239}"
tongkat ali,24530.496,0.0994,"{'11': 0.328, '5': 0.153}"
paint,1740.8462,0.0574,{'11': 0.608}
hookah,1623.5648,0.0709,"{'8': 0.545, '11': 0.289}"
leverage redemption,6148.2869,0.092,"{'9': 0.959, '11': 0.601}"
sunflower decor,3421.4201,0.0657,"{'2': 0.112, '11': 0.723, '6': 0.183}"
stroller fan,13186.4117,0.1023,{'11': 0.817}
hoverboard,545.0523,0.0951,"{'2': 0.796, '5': 0.496, '7': 0.748}"
nba finals,97022.7191,0.0889,"{'9': 0.689, '3': 0.88}"
ebt eligible food,28450.7401,0.0773,{}
marvel movies,16933.1037,0.1,"{'10': 0.363, '4': 0.361}"
katana,1827.4964,0.0612,"{'9': 0.154, '11': 0.682}"
lawn mower,6407.2862,0.0986,{'11': 0.609}
white tank tops women,1866.863,0.0806,{'11': 1.087}
towels for bathroom,3785.257,0.0759,"{'2': 0.362, '11': 0.168}"
dog beds,1729.2327,0.0713,"{'10': 0.089, '2': 0.257, '5': 0.283}"
bluey toys,5713.4829,0.087,{'5': 0.645}
steamer for clothes,2557.0182,0.0685,"{'11': 0.405, '6': 0.081}"
garden decor,2071.448,0.1135,{'9': 0.761}
christmas movies,4066.0831,0.1166,{'4': 0.219}
electric kettle,975.77,0.0533,"{'11': 0.15, '6': 0.751}"
ipad pro 11 case,9283.1339,0.131,"{'2': 0.124, '11': 0.221, '6': 0.567}"
back massager,1140.7048,0.0545,"{'10': 0.1, '7': 0.642}"
mushrooms,1439.9853,0.0737,{'11': 0.702}
dog life jacket,13518.4712,0.0991,{'11': 0.696}
sleeper sofa,2646.8131,0.0651,"{'2': 0.174, '11': 0.538, '6': 0.102}"
tupperware,1761.6774,0.0655,"{'11': 0.479, '7': 0.138}"
mortal kombat,4135.7905,0.1069,{'11': 0.789}
white noise machine,2229.7222,0.0604,"{'11': 0.425, '6': 0.177}"
treadmill,718.8713,0.0804,"{'11': 0.17, '5': 0.608}"
bose bluetooth speaker,2148.3973,0.0593,"{'8': 0.409, '10': 0.522, '3': 0.108}"
dog clothes,1446.218,0.0628,"{'8': 0.211, '6': 0.393}"
fadogia agrestis,10291.3548,0.1076,{'11': 0.887}
vase,2017.7298,0.0599,"{'11': 0.699, '6': 0.124}"
chicken breasts,1670.9926,0.0556,{'11': 1.056}
opi nail polish,2301.862,0.0539,"{'8': 0.302, '11': 0.379}"
tens unit,2831.5068,0.0639,"{'11': 0.28, '5': 0.319}"
tops for women casual summer,47669.9509,0.0948,{'10': 0.884}
headband wig,1137.4494,0.0973,{'11': 0.74}
car organizer,2543.0223,0.0567,"{'2': 0.205, '11': 0.574, '6': 0.075}"
cargo pants,2933.7373,0.067,"{'10': 0.115, '2': 0.319, '7': 0.15}"
baby play mat,2300.7861,0.0616,"{'11': 0.605, '5': 0.07}"
vionic sandals women,28049.1538,0.109,"{'11': 1.009, '4': 0.874}"
sandals for women,6049.1488,0.1509,{'11': 0.546}
toys for girls,1920.7213,0.0689,"{'9': 0.099, '6': 0.381}"
